labels;sum;max;min;mean;std;mode;q1;q2;q3
Imbalanced;0,00000141484312;0,00000132565421;0,00000000000000;0,00000000170933;0,00000531254397;0,00000012033502;0,00000158618971;0,00000099945653;0,00000144831881
Random Unders;0,00000482020879;0,00001893833981;0,00000000000000;0,00000000000000;0,00000494155471;0,00000018177845;0,00000614527682;0,00000386964920;0,00000326903273
SMOTE;0,00000379051560;0,00002236387287;0,00000000000000;0,00000000000000;0,00000645799082;0,00000023974618;0,00000780056472;0,00000320999411;0,00000327747165
Mean;0,00000334185584;0,00001420928896;0,00000000000000;0,00000000056978;0,00000557069650;0,00000018061988;0,00000517734375;0,00000269303328;0,00000266494106
