labels;speed variation;speed;distance;course variation;time gap;total time
Imbalanced;0,000001103130;0,000003852978;0,000000985068;0,000001226480;0,000000463000;0,000004896066
Random Unders;0,000002773008;0,000017387850;0,000002586175;0,000003198828;0,000001643019;0,000004923909
SMOTE;0,000000772700;0,000005708570;0,000000710726;0,000001051087;0,000001334455;0,000001441735
